"GenBank_ID","Country","State","City","Serotype","Date","Decimal_Date","Sequence_name"
"FJ375613.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375613.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375614.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375614.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375615.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375615.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375616.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375616.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375617.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375617.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375618.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375618.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375619.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375619.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375620.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375620.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375621.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375621.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375622.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375622.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375623.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375623.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375624.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375624.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375625.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375625.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375626.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375626.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375627.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375627.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375628.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375628.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375629.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375629.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375630.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375630.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375631.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375631.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375632.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375632.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375633.1","India","NA","NA","Dengue_3","2007-06-15","2007.45205479452","FJ375633.1|India|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"FJ375634.1","India","NA","NA","Dengue_3","2007-06-15","2007.45205479452","FJ375634.1|India|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"FJ375635.1","India","NA","NA","Dengue_3","2007-06-15","2007.45205479452","FJ375635.1|India|NA|NA|Dengue_3|2007-06-15|2007.45205479452"
"FJ375636.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375636.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375637.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375637.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375638.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375638.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375639.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375639.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375640.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375640.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375641.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375641.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375642.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375642.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375643.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375643.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375644.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375644.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375645.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375645.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375646.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375646.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375647.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375647.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375648.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375648.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375649.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375649.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375650.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375650.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375651.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375651.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375652.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375652.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375653.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375653.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375654.1","India","NA","NA","Dengue_3","2005-06-15","2005.45205479452","FJ375654.1|India|NA|NA|Dengue_3|2005-06-15|2005.45205479452"
"FJ375655.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375655.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375656.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375656.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375657.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375657.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
"FJ375658.1","India","NA","NA","Dengue_3","2006-06-15","2006.45205479452","FJ375658.1|India|NA|NA|Dengue_3|2006-06-15|2006.45205479452"
