"traits"	"location"
"OP090396.1|Viet_Nam|NA|NA|Dengue_2|2022-04-01|2022.24657534247"	"Southern_Vietnam"
"ON123651.1|India|NA|NA|Dengue_2|2020-06-15|2020.45205479452"	"India"
"MZ636787.1|Thailand|Bangkok|NA|Dengue_2|2020-08-03|2020.58630136986"	"Thailand"
"MZ636786.1|Thailand|Bangkok|NA|Dengue_2|2020-07-27|2020.56712328767"	"Thailand"
"MW946316.1|Thailand|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Thailand"
"MW946404.1|Thailand|NA|NA|Dengue_2|2006-06-15|2006.45205479452"	"Thailand"
"MW946428.1|Thailand|NA|NA|Dengue_2|2001-06-15|2001.45205479452"	"Thailand"
"MW648218.1|Indonesia|Malinau|NA|Dengue_2|2018-09-12|2018.69589041096"	"Indonesia"
"MW946589.1|Thailand|NA|NA|Dengue_2|2013-06-15|2013.45205479452"	"Thailand"
"MW720953.1|China|NA|NA|Dengue_2|2019-09-15|2019.70410958904"	"Guangdong"
"MW510862.1|Singapore|NA|NA|Dengue_2|2012-06-15|2012.45205479452"	"Singapore"
"MW512438.1|Singapore|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"Singapore"
"MW510762.1|Singapore|NA|NA|Dengue_2|2011-06-15|2011.45205479452"	"Singapore"
"MW018159.1|China|NA|NA|Dengue_2|2018-09-15|2018.70410958904"	"Guangdong"
"MW332627.1|Myanmar|NA|NA|Dengue_2|2016-09-15|2016.70410958904"	"Myanmar"
"MN955666.1|Thailand|NA|NA|Dengue_2|2018-11-15|2018.87123287671"	"Thailand"
"MN982893.1|Malaysia|NA|NA|Dengue_2|2017-02-15|2017.12328767123"	"Malaysia"
"MN982892.1|Malaysia|NA|NA|Dengue_2|2016-10-15|2016.78630136986"	"Malaysia"
"MT122193.1|Indonesia|Kupang|NA|Dengue_2|2017-09-15|2017.70410958904"	"Indonesia"
"MN448802.1|Thailand|NA|NA|Dengue_2|2011-09-05|2011.67671232877"	"Thailand"
"MN448811.1|Thailand|NA|NA|Dengue_2|2010-08-05|2010.59178082192"	"Thailand"
"MN448872.1|Thailand|NA|NA|Dengue_2|2010-08-16|2010.62191780822"	"Thailand"
"MN448881.1|Thailand|NA|NA|Dengue_2|2011-06-23|2011.47397260274"	"Thailand"
"MN448907.1|Thailand|NA|NA|Dengue_2|2009-11-03|2009.83835616438"	"Thailand"
"MN628234.1|Laos|NA|NA|Dengue_2|2012-06-15|2012.45205479452"	"Laos"
"MN444610.1|Laos|Vientiane_Capital|NA|Dengue_2|2017-01-23|2017.0602739726"	"Laos"
"MN444621.1|Laos|Attapeu|NA|Dengue_2|2018-05-07|2018.34520547945"	"Laos"
"MN444607.1|Laos|Vientiane_Capital|NA|Dengue_2|2016-04-15|2016.28493150685"	"Laos"
"MN444605.1|Laos|Vientiane_Capital|NA|Dengue_2|2015-09-28|2015.7397260274"	"Laos"
"MN448743.1|Thailand|NA|NA|Dengue_2|2012-07-06|2012.5095890411"	"Thailand"
"MK858097.2|India|NA|NA|Dengue_2|2013-06-15|2013.45205479452"	"India"
"MN018356.1|China|Guangdong_Province|NA|Dengue_2|2014-09-23|2014.72602739726"	"Guangdong"
"MH822946.2|India|NA|NA|Dengue_2|2012-10-19|2012.79726027397"	"India"
"MH822951.2|India|NA|NA|Dengue_2|2013-09-04|2013.67397260274"	"India"
"MH827543.1|China|NA|NA|Dengue_2|2017-06-15|2017.45205479452"	"Guangdong"
"MH594909.1|India|NA|NA|Dengue_2|2009-06-15|2009.45205479452"	"India"
"MH594911.1|India|NA|NA|Dengue_2|2010-06-15|2010.45205479452"	"India"
"MH051829.1|Taiwan|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"Taiwan"
"MH110607.1|China|Hangzhou|NA|Dengue_2|2017-09-15|2017.70410958904"	"Zhejiang"
"MG894992.1|Taiwan|NA|NA|Dengue_2|2011-11-17|2011.87671232877"	"Taiwan"
"MG840603.1|China|NA|NA|Dengue_2|2016-06-15|2016.45205479452"	"Guangdong"
"MG457043.1|Taiwan|NA|NA|Dengue_2|2001-11-10|2001.85753424658"	"Taiwan"
"MG457064.1|Taiwan|NA|NA|Dengue_2|2002-10-01|2002.74794520548"	"Taiwan"
"MG457069.1|Taiwan|NA|NA|Dengue_2|2003-03-04|2003.1698630137"	"Taiwan"
"MF094260.1|Philippines|NA|NA|Dengue_2|2002-06-15|2002.45205479452"	"Philippines"
"KY882530.1|Viet_Nam|NA|NA|Dengue_2|2011-06-15|2011.45205479452"	"Southern_Vietnam"
"KY971720.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"North_Vietnam"
"KY971724.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"North_Vietnam"
"KY971727.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"North_Vietnam"
"KY971730.1|Viet_Nam|NA|NA|Dengue_2|2015-06-15|2015.45205479452"	"North_Vietnam"
