head_node	tail_node	length	head_country	tail_country	head_date	head_dec_date	tail_date	tail_dec_date
62	64	0.0542717	Philippines	Philippines	2005-06-05	2005.4259756345512	2019-08-25	2019.64931506849
62	65	0.0576596	Philippines	Philippines	2005-06-05	2005.4259756345512	2015-08-14	2015.61917808219
53	62	0.0502397	Philippines	Philippines	2004-09-05	2004.68069212984	2005-06-05	2005.4259756345512
41	53	0.0488991	Philippines	Philippines	1990-11-12	1990.8656582262672	2004-09-05	2004.68069212984
33	41	0.0360315	Philippines	Philippines	1983-04-26	1983.3167768152823	1990-11-12	1990.8656582262672
27	33	0.0320023	Philippines	Philippines	1953-02-09	1953.1085117318405	1983-04-26	1983.3167768152823
2	27	0.0197504	India	Philippines	1925-03-05	1925.1727830654195	1953-02-09	1953.1085117318405
1	2	0.000670075	India	India	1924-04-24	1924.314088512657	1925-03-05	1925.1727830654195
66	67	0.0513182	Vietnam	Indonesia	1975-09-15	1975.7066837205207	2006-06-14	2006.45205479452
69	70	0.0552334	Vietnam	Vietnam	1995-11-10	1995.8587651522867	2003-06-14	2003.45205479452
69	71	0.0477936	Vietnam	Cambodia	1995-11-10	1995.8587651522867	2000-06-13	2000.45205479452
68	69	0.0471222	Vietnam	Vietnam	1987-11-26	1987.9028020925964	1995-11-10	1995.8587651522867
74	75	0.0606269	Laos	Laos	2008-02-09	2008.1074168929426	2010-06-14	2010.45205479452
74	76	0.0586063	Laos	Laos	2008-02-09	2008.1074168929426	2011-08-14	2011.61917808219
73	74	0.0579343	Laos	Laos	1997-04-04	1997.256638403333	2008-02-09	2008.1074168929426
77	78	0.0545353	Laos	China	1999-05-29	1999.4072164363984	2004-10-13	2004.78630136986
79	80	0.052506	Thailand	Thailand	2000-05-15	2000.3715817764798	2002-06-14	2002.45205479452
79	81	0.0572387	Thailand	Vietnam	2000-05-15	2000.3715817764798	2008-06-13	2008.45205479452
77	79	0.0511616	Laos	Thailand	1999-05-29	1999.4072164363984	2000-05-15	2000.3715817764798
73	77	0.0504898	Laos	Laos	1997-04-04	1997.256638403333	1999-05-29	1999.4072164363984
82	83	0.0552064	Laos	Laos	2001-06-12	2001.446448493632	2007-07-13	2007.52876712329
82	84	0.0572544	Laos	Laos	2001-06-12	2001.446448493632	2007-09-01	2007.66575342466
82	85	0.0511624	Laos	China	2001-06-12	2001.446448493632	2001-06-14	2001.45205479452
87	88	0.055871	Myanmar	Thailand	2008-06-07	2008.4339474259466	2009-11-09	2009.85479452055
89	90	0.0620027	Myanmar	Myanmar	2013-01-02	2013.0041769287357	2018-07-14	2018.53424657534
89	91	0.0585629	Myanmar	Myanmar	2013-01-02	2013.0041769287357	2014-09-14	2014.70410958904
92	93	0.0572192	Myanmar	Myanmar	2013-06-14	2013.45205479452	2013-06-14	2013.45205479452
92	94	0.0572192	Myanmar	Taiwan	2013-06-14	2013.45205479452	2013-08-30	2013.66301369863
89	92	0.0572192	Myanmar	Myanmar	2013-01-02	2013.0041769287357	2013-06-14	2013.45205479452
87	89	0.0572192	Myanmar	Myanmar	2008-06-07	2008.4339474259466	2013-01-02	2013.0041769287357
86	87	0.055199	Myanmar	Myanmar	2004-06-08	2004.4374234684467	2008-06-07	2008.4339474259466
95	96	0.0599313	Myanmar	China	2005-02-26	2005.1549680093412	2013-06-14	2013.45205479452
97	98	0.0572143	Myanmar	Myanmar	2011-05-21	2011.3857964040199	2015-07-14	2015.53424657534
97	99	0.0572137	Myanmar	Thailand	2011-05-21	2011.3857964040199	2018-05-14	2018.36712328767
100	101	0.058558	Myanmar	Myanmar	2013-01-30	2013.0809550619842	2015-07-14	2015.53424657534
100	102	0.0599107	Myanmar	Myanmar	2013-01-30	2013.0809550619842	2017-11-14	2017.87123287671
97	100	0.0565406	Myanmar	Myanmar	2011-05-21	2011.3857964040199	2013-01-30	2013.0809550619842
95	97	0.0551964	Myanmar	Myanmar	2005-02-26	2005.1549680093412	2011-05-21	2011.3857964040199
